Number_of_Appliances,Daily_Peak_Hours,Aircon_Usage_Hours,Refrigerator_Count,Washing_Machine_Usage,Household_Size,Month,kWh_Consumption
11,6.6,3.25,2,0.73,3,2,59.93970139520023
11,5.4,2.66,1,2.14,4,10,58.532917381674395
10,1.57,1.62,2,0.27,4,4,44.19883882172033
12,7.12,1.67,1,0.6,3,5,49.70704356868352
12,7.45,3.35,1,2.63,2,2,57.320501275390185
14,1.43,4.97,1,2.22,1,1,57.548206555207194
14,2.94,3.31,2,0.04,2,9,58.61513557511199
14,6.64,2.79,2,0.75,5,1,66.8468102843093
3,6.24,3.65,2,0.64,4,4,52.101507722503804
12,2.29,2.33,1,0.81,5,2,49.857463206174565
7,2.47,0.3,1,0.74,4,11,36.05593429031188
4,3.59,2.81,2,0.19,4,4,40.59186898110568
9,4.39,4.79,2,1.38,5,8,66.04618209427724
3,5.33,0.88,2,2.2,5,8,45.321503379449624
5,3.58,3.45,2,1.82,2,11,46.41952892730794
3,4.24,1.0,2,2.02,5,12,42.80739858456688
7,6.23,2.68,1,0.24,2,9,45.18987351324893
5,1.26,0.48,1,2.85,2,11,32.92078480969291
9,2.77,2.25,1,2.52,2,12,47.27619355827458
7,5.99,3.78,2,2.42,4,5,60.74278180613437
2,7.27,1.74,1,2.47,4,7,48.86663966219006
4,4.58,3.32,1,2.8,5,3,46.13187166165406
9,4.72,3.98,1,1.63,4,10,60.7474584196558
12,1.75,4.64,1,0.6,5,4,57.85962160670654
14,4.13,1.17,1,1.85,4,10,54.4072339481291
2,4.73,2.0,2,2.23,1,9,44.70799236006684
10,2.7,0.76,1,2.21,1,10,36.304275470224454
9,2.88,4.96,2,1.56,5,10,62.087806862937875
10,3.64,4.64,2,0.21,4,12,61.472017722953986
5,1.14,2.7,2,1.11,4,1,37.301545753337244
2,3.25,4.21,2,2.76,2,2,46.262692501109974
4,2.48,2.6,2,1.75,3,5,40.80358638735975
12,3.29,3.12,1,1.61,5,3,60.8079828535263
12,1.84,0.45,1,0.81,3,2,38.92451713396452
7,7.23,3.78,2,1.11,3,1,60.988839467200876
12,5.16,0.64,2,2.69,5,10,62.943315909852025
13,5.75,4.13,2,2.0,4,3,71.6222953699879
8,6.52,3.91,1,2.36,5,1,63.63506525053792
3,4.49,3.54,2,1.36,3,12,52.814311565681294
14,1.61,0.18,1,1.89,4,1,40.32271594138136
1,4.76,1.52,2,0.75,1,12,34.803189572548526
4,5.11,1.32,1,2.12,5,1,36.869428865254044
2,6.22,1.8,2,1.28,5,8,40.75966525648641
8,4.02,0.44,1,1.33,4,3,35.00803809311366
4,1.89,4.68,2,1.95,1,11,51.77732109901619
2,2.99,2.77,1,2.81,1,1,33.66678570292197
14,3.54,1.53,1,0.19,4,7,45.41399291764223
6,5.52,1.98,1,2.47,2,10,45.38235085004986
6,5.0,2.24,1,0.88,5,3,43.305991574250584
10,3.49,3.0,1,1.33,5,8,53.95293607409366
4,7.91,2.58,1,0.07,3,4,45.832746046779974
6,5.24,4.6,1,0.9,4,4,57.398774110730905
13,2.66,2.48,2,1.51,3,5,51.73984564707634
2,1.71,4.96,2,0.17,3,6,48.00336356403754
10,2.07,4.26,2,1.47,1,7,57.77491435900493
12,2.72,1.04,2,2.78,5,4,50.66090579914564
2,2.12,4.65,2,0.32,3,8,47.624250815859206
10,2.31,0.58,1,2.29,1,6,37.55269432738585
14,3.0,4.09,1,1.23,4,1,56.11706605126159
4,2.21,1.9,1,1.97,3,1,35.02419400494539
14,7.28,4.39,1,0.78,5,9,71.69981738220615
8,1.56,4.34,1,0.48,3,10,48.20189509011487
14,4.67,4.03,2,0.48,4,6,67.03886750344428
7,3.87,3.95,2,0.21,3,10,47.477879622976
12,7.88,1.52,2,0.56,5,8,60.50686092467728
9,1.78,0.4,2,1.99,1,7,36.9853428408674
14,3.78,2.01,1,2.65,5,12,55.472228460661945
8,7.79,0.87,1,2.44,1,6,47.57702797363935
5,7.06,3.47,1,2.06,2,4,48.99363714441763
13,6.72,1.73,2,0.33,5,7,59.870585341478396
2,2.81,4.88,1,0.87,5,9,48.09927647898361
5,2.2,3.2,2,0.93,4,11,48.978755452387134
8,5.68,4.11,1,0.75,3,10,60.98484266849129
10,7.51,0.66,1,1.55,1,10,47.861031093147496
9,4.9,4.31,2,1.61,1,7,59.058056551518895
12,5.0,4.61,1,1.07,4,1,61.26243399021972
12,2.96,2.44,1,1.06,4,10,52.03209391188666
12,6.39,3.03,2,2.49,3,9,67.87791439487893
13,2.31,3.82,1,2.37,3,4,59.53079919751876
9,3.27,0.87,2,0.92,5,3,42.88247974652837
13,3.98,2.51,1,2.74,2,4,49.64226737532886
13,4.55,1.99,1,2.86,3,4,53.70093262469376
1,2.7,0.73,1,0.98,4,10,24.609713107408545
9,1.8,1.84,1,1.06,3,11,43.41478705971748
7,5.27,0.34,1,1.52,1,2,28.985084739864206
9,3.02,0.13,1,2.82,2,12,39.186161274252676
8,5.07,0.68,1,2.63,5,1,40.95343671755641
1,2.08,4.82,1,0.31,1,12,35.242711450202776
12,4.37,2.75,2,1.18,1,10,58.142877857664
8,4.73,4.83,2,1.66,2,12,63.85413833440813
8,1.36,2.16,1,1.51,5,1,43.36793188729708
11,3.36,1.56,1,0.58,4,8,40.18407276396708
3,1.94,2.53,2,2.58,5,2,39.81543606724751
1,1.44,2.2,1,2.03,3,12,32.290786737120406
8,7.93,0.53,1,2.51,1,10,45.84061887371494
3,3.26,3.2,2,2.58,3,5,41.20443808752899
3,6.67,1.08,1,2.25,4,12,44.37211357032134
1,2.78,3.1,1,1.32,3,4,40.434987218843105
11,5.77,3.25,2,1.83,5,8,66.8736120393966
5,6.32,0.76,1,0.48,3,2,33.678617205470545
10,5.17,0.31,1,2.02,4,10,40.79762777892388
7,4.3,3.9,2,0.54,4,9,53.85726165932893
10,3.88,2.3,1,2.08,4,7,50.752465297531685
9,3.44,0.29,2,0.69,5,7,38.62067058747151
12,7.51,4.97,1,0.35,4,1,71.14876927881295
7,6.81,0.29,1,0.5,1,12,38.67110960290591
9,7.76,3.48,2,0.01,4,2,67.51713576294091
8,1.87,4.92,2,2.16,3,4,54.21742469072713
12,6.12,1.2,1,2.2,3,4,50.2393438341752
2,7.57,0.71,2,1.54,3,11,36.61952288239713
1,2.27,0.61,2,0.48,5,3,18.38267767622903
7,1.47,1.52,1,0.25,3,7,34.70816293835946
7,6.19,0.51,1,0.06,5,12,43.53984614890207
14,5.02,3.46,1,0.5,5,8,61.27622869606263
8,6.89,0.31,2,2.67,4,2,45.94908885878027
5,1.98,2.55,2,0.72,1,4,33.26219720322337
3,6.57,4.98,2,1.06,4,3,56.67737763547017
12,2.41,4.07,2,0.32,4,2,55.84914616170118
8,2.15,3.08,1,0.67,5,12,46.850304467787176
6,2.15,1.53,2,1.56,5,6,38.42005027054014
11,6.7,3.12,1,1.82,3,4,56.574693668167235
3,5.66,2.64,2,0.74,3,6,45.26863654025999
1,4.66,2.13,1,0.17,4,2,23.487339472045555
3,3.51,0.65,1,1.17,2,12,28.42711221554559
5,7.14,4.43,1,0.7,2,4,50.06695437038698
14,3.75,2.25,2,0.66,3,11,53.91534194132416
3,6.72,0.97,1,2.88,2,6,35.973039877748825
1,4.07,1.84,1,1.85,3,5,32.496980870080534
5,3.64,2.07,2,1.67,5,3,42.82676441487992
10,4.24,4.14,1,1.25,4,8,56.48781847060539
7,3.11,3.67,2,1.29,1,7,50.815089555336726
14,6.23,3.85,2,1.62,4,3,66.74218803941854
7,4.52,0.06,1,2.09,3,6,32.31588123222164
11,2.63,2.08,1,2.11,3,4,46.733475357683545
9,7.3,2.41,2,0.52,4,11,59.65110569287823
10,3.69,0.1,1,1.5,3,5,34.04490101660106
10,4.8,1.3,2,1.24,2,11,39.27151390970253
12,7.35,3.8,2,2.61,2,5,65.76352734023645
13,5.37,0.69,2,1.89,3,7,51.95566455872078
3,1.82,2.68,1,1.6,3,11,39.805824161070085
7,7.58,1.08,2,0.35,2,5,43.02211002741466
1,5.39,0.06,1,1.82,3,11,27.783041858773153
4,3.34,1.21,1,0.35,3,3,35.30963301709797
13,1.97,4.88,1,1.01,4,10,62.742541635483946
4,6.56,4.01,1,0.43,1,5,48.86669806037331
14,5.34,4.8,2,2.08,2,7,68.33484371371931
5,4.73,2.44,1,0.62,4,5,38.6294964523731
7,7.26,0.55,2,1.18,1,5,42.07197683438667
7,6.52,2.74,2,2.69,3,9,60.75368382735612
13,2.06,2.27,1,0.61,3,3,44.02084932941978
11,3.18,4.22,2,1.52,4,6,56.454092925108434
13,2.74,0.49,2,1.26,3,1,40.44732798179633
4,6.21,2.44,1,0.05,5,10,46.78821770233869
13,1.23,0.75,2,2.38,4,5,45.26645411678647
7,4.99,1.62,2,0.21,1,8,38.80983100511698
11,6.34,3.69,2,1.42,4,5,64.51134764221719
3,7.14,2.38,2,1.68,2,9,45.29066946714768
6,3.39,1.88,1,1.89,4,11,40.12448532878942
12,6.75,1.97,2,2.07,3,6,61.25700556194042
2,1.77,2.3,2,0.76,3,8,34.35339494020813
10,6.93,3.93,2,0.03,5,10,66.61794932413302
13,1.89,4.46,2,2.17,5,8,65.89855677168352
14,3.78,4.78,1,1.61,5,3,67.13947933039476
9,6.58,3.93,2,2.51,1,7,62.81094928636099
5,2.05,1.58,1,2.46,5,7,43.60604472744292
6,2.6,3.44,2,2.53,1,10,50.92361054948143
12,6.06,2.19,1,1.46,5,12,58.49107263415274
12,6.04,1.27,1,1.0,1,6,43.96270877188293
12,5.49,4.2,1,2.37,4,12,67.28495669902621
12,5.86,0.19,1,1.35,4,7,45.26843840624108
4,4.8,4.51,1,0.55,3,2,45.31264564927734
14,2.76,2.31,2,2.56,1,9,56.614471234968875
14,3.42,3.19,2,2.65,2,10,55.15945123260584
11,2.27,3.3,2,1.4,3,10,57.44550492782423
10,7.36,4.48,1,0.23,4,1,62.9061324634163
7,5.08,3.18,2,1.16,1,1,50.668227449442924
12,3.81,3.07,1,2.41,5,3,60.42036866366186
9,4.23,0.33,1,2.71,2,3,34.47890664423784
7,7.63,2.59,2,0.61,4,1,54.722894242815514
14,2.07,0.75,2,0.2,3,12,45.2857975683571
1,5.1,3.69,1,2.63,1,7,37.607079727667184
1,4.54,2.56,1,1.17,2,4,34.19649581918667
9,5.28,3.4,2,1.63,1,10,54.94723973828791
11,1.13,0.21,2,2.9,5,2,40.110664549191
14,7.1,0.42,2,0.2,3,10,58.15434949082574
9,7.52,3.58,2,1.94,1,5,60.994360708196474
4,4.96,0.36,1,0.22,4,6,27.10799544643001
13,5.88,0.36,2,1.13,3,9,53.2132450168486
9,7.46,0.06,2,2.41,4,4,48.627627710409314
3,5.95,4.78,2,1.3,1,2,47.994514512904274
7,2.07,3.69,1,2.99,3,5,44.25128669757604
6,5.03,1.77,1,1.68,4,3,38.83798732234384
8,5.25,1.48,1,0.96,5,2,45.82890540201517
11,3.97,1.75,1,0.66,5,12,50.10519359907086
9,6.16,3.87,2,1.05,1,1,55.51342755686623
14,7.54,3.31,1,1.12,3,10,63.3544109876715
5,7.48,0.93,2,0.21,2,2,40.11965693705227
1,4.16,0.87,2,1.11,3,6,23.844449006926787
3,1.79,0.49,2,1.39,5,8,28.843867451796946
10,7.89,3.3,2,2.17,4,3,66.37539157734139
12,6.87,3.82,1,1.97,2,11,62.91210566488196
8,1.87,1.33,1,2.13,1,9,37.49238783835133
11,7.45,0.1,1,0.03,2,12,41.352418064345194
6,7.09,0.41,2,0.65,1,9,34.85178822155108
8,4.63,4.84,2,1.99,2,2,63.29944619393341
9,5.14,1.48,2,1.45,1,8,46.041790579297015
4,3.79,3.85,2,0.02,1,10,46.927108234148875
1,1.38,3.12,2,2.41,2,11,42.23462875365809
14,3.35,1.91,1,2.32,2,12,46.03210315149721
1,6.62,1.03,2,1.65,1,5,35.09434791991096
10,1.03,0.61,1,0.2,5,4,30.726924446516957
4,3.33,3.08,2,2.3,2,10,44.772181627678265
12,3.79,3.87,2,1.75,3,5,62.74232323299676
14,4.76,3.22,1,2.35,4,4,61.23087767977165
7,7.44,2.65,1,2.26,1,8,53.433563226369564
2,3.42,0.21,2,2.41,1,4,25.087471097451754
3,3.43,4.84,2,1.55,4,10,56.164627044052175
1,6.16,3.99,2,0.42,5,12,52.63933522395414
5,4.17,1.46,2,2.01,4,6,38.96520013252558
1,2.57,4.9,1,1.86,2,2,39.639047287757485
8,4.17,3.01,2,2.23,4,5,54.041527608560166
1,1.99,2.91,1,0.51,1,6,34.06171517832362
11,2.23,3.74,2,0.58,4,5,59.73571919734063
1,4.49,4.06,1,2.67,3,12,47.66011206642182
2,3.93,3.28,1,2.25,2,2,38.94077303199742
2,7.4,0.64,2,2.72,4,7,41.07683107816185
12,3.54,1.69,1,2.28,1,4,44.98079985660708
6,5.06,4.64,2,1.79,2,8,59.67673824262832
7,5.43,1.12,1,1.96,1,7,40.46254504726681
5,1.09,1.86,2,2.67,5,7,32.616583654547775
1,5.64,2.16,1,1.74,3,9,40.15949599766082
1,2.25,2.2,2,1.9,5,1,33.603236912350056
3,7.73,3.06,2,0.47,3,10,49.58518625730519
14,2.04,4.72,1,1.42,4,6,65.90277003448621
2,3.9,1.2,1,2.15,2,6,34.50047324921431
5,1.6,0.61,1,0.81,4,6,29.43700943212422
12,7.98,0.99,1,0.61,3,12,52.07434517836672
10,4.52,4.43,2,0.94,3,6,58.34198304958327
6,5.17,3.23,1,0.72,3,12,41.41126671567095
7,1.47,1.43,2,0.64,1,10,34.91754798974407
4,6.25,4.08,1,1.27,2,7,52.67704832338331
7,2.47,4.31,2,2.72,4,10,59.1244094697059
11,7.29,4.23,2,1.52,4,6,73.07123862651399
8,2.44,4.59,2,0.56,5,1,50.98942929250252
11,2.33,1.26,2,0.23,3,3,39.406283130634854
1,1.26,3.78,1,2.09,3,2,34.849097121236326
6,4.3,2.3,1,1.15,3,6,41.5696739472318
8,4.95,4.21,2,2.47,4,8,67.39379498886173
5,1.46,3.64,1,1.98,5,3,44.26547332770371
4,6.43,3.88,1,2.39,1,10,51.655622647682414
2,4.17,3.28,2,0.82,2,8,39.5699195605684
6,4.67,0.89,1,2.08,1,8,39.43573841426438
6,4.09,2.73,1,0.79,4,5,39.616411332264114
11,3.81,4.92,1,2.82,3,8,64.20100170145776
1,4.92,4.69,2,1.91,2,6,55.69181120129249
9,2.09,0.22,1,0.97,4,5,33.6247298942146
12,2.27,0.82,2,0.81,4,9,44.69947004489619
11,7.03,0.66,1,0.57,4,7,47.565076166578855
6,7.62,3.63,1,2.08,2,8,53.71086603792654
13,3.61,4.09,1,0.66,2,1,54.784418265427426
3,2.9,1.07,2,1.79,5,11,37.18040248301263
4,5.51,2.53,2,0.79,5,2,46.288885798365015
12,3.86,4.2,1,1.99,1,8,54.68127584312107
11,1.18,3.66,2,2.44,2,12,58.233556023307955
4,2.09,2.71,1,2.33,2,9,41.939889024658925
3,6.01,2.95,2,2.28,2,4,46.21853062463828
10,5.61,2.54,2,0.56,5,12,61.481295179917424
3,1.19,1.49,1,0.27,4,10,29.80103882453373
3,2.55,2.83,1,2.1,3,11,39.126779579501836
4,2.62,3.44,1,1.11,5,10,42.984422940628654
7,5.7,4.37,1,1.3,2,9,54.094834533838025
4,1.14,3.18,2,0.09,5,4,40.73867770746414
9,1.73,3.81,2,0.78,1,10,49.901564604044395
1,6.6,0.8,2,0.1,2,10,36.72527906564509
8,2.25,2.31,1,2.64,1,10,45.202610336611684
7,5.57,0.05,1,0.73,2,9,36.21635494938191
2,2.67,1.23,2,1.67,5,11,37.61924240513667
8,1.7,3.63,1,0.12,4,7,43.403403152035004
1,2.7,4.96,2,2.0,3,2,48.17601788792498
11,6.06,0.5,2,0.97,1,9,45.25155949508466
12,6.99,2.01,2,2.69,5,4,59.49485583433276
9,6.81,4.0,2,2.66,4,8,72.06984777567614
9,3.78,1.02,2,0.98,5,7,48.426868124787454
2,5.68,2.78,1,2.7,1,7,38.22755256674881
7,2.43,3.67,1,2.99,3,8,49.27661528465041
14,3.05,3.08,1,2.48,5,1,56.810149341678574
10,7.27,0.94,2,2.53,2,5,52.62955463139884
3,1.09,1.78,2,0.75,4,2,31.564175541361987
7,1.6,3.92,2,1.73,5,2,51.393221638359066
12,2.46,2.77,2,0.2,4,1,50.49157184119738
10,1.19,0.03,1,0.28,2,5,22.727103410663396
9,2.27,3.8,1,3.0,3,2,52.68408384407536
4,5.08,0.18,2,0.98,3,4,31.217343873361788
12,3.95,3.73,2,2.24,2,3,57.49287045232423
1,7.25,1.01,2,2.42,4,3,34.792481178209044
2,6.72,4.79,1,2.57,5,2,57.11088346855906
1,3.39,1.84,1,2.99,2,6,33.530879688653435
14,2.82,1.63,1,0.72,1,2,36.622554594880235
12,3.66,0.74,2,0.12,4,8,45.315458211969286
5,5.13,1.53,2,1.23,3,8,42.73671925554548
5,2.88,4.38,1,0.39,2,12,46.277311370557015
11,5.37,4.98,2,0.07,3,5,66.41951460718552
7,3.87,1.84,1,1.08,4,10,43.20201275116805
9,4.86,2.24,2,2.35,3,7,53.969513016009095
9,4.05,3.61,1,1.7,2,4,52.652740798625175
3,3.06,4.43,2,0.94,4,1,48.75442071845157
3,7.64,2.97,1,1.96,1,11,51.60046148033951
3,6.35,1.96,1,0.7,2,2,36.41497556635374
4,1.98,2.06,1,0.04,5,10,34.40887777766954
8,7.08,3.48,1,2.29,2,10,57.19662986574041
6,4.41,0.02,1,1.87,4,4,29.47007374139414
8,7.26,3.1,1,2.29,2,1,53.553538929338714
1,6.6,1.78,2,0.12,1,8,39.303935143957574
8,3.98,3.97,2,2.51,1,9,55.754642182038545
4,1.16,0.46,2,1.86,5,4,31.188824743129878
11,2.88,2.94,1,1.69,3,10,50.58315998645452
1,4.79,2.4,1,1.87,4,3,37.9044147454819
8,5.43,3.21,2,2.59,4,2,60.86804138422332
4,2.81,0.32,1,1.76,3,5,28.798743919995825
6,1.98,2.9,1,1.74,1,3,32.227563900582524
8,6.84,2.81,1,2.97,1,10,56.88208444810664
4,7.89,2.8,1,2.27,2,7,51.668677336380654
14,4.68,3.02,1,1.33,5,11,64.64046091968127
3,2.2,3.38,2,2.12,5,6,48.54256633810702
14,2.91,4.02,2,1.17,5,1,60.75949388084739
9,1.13,1.35,2,0.69,2,12,39.07978946441226
3,7.4,4.13,2,1.79,5,8,64.3605218228143
9,1.82,2.49,2,2.78,3,2,49.70984845039911
13,5.04,0.39,1,2.79,2,5,47.25413492201791
2,2.92,0.29,1,1.03,3,9,21.70101432949735
14,4.88,1.67,1,1.58,2,8,49.14860868814216
2,5.56,3.92,1,0.63,5,2,46.82363102333006
2,6.81,3.54,2,2.99,3,9,55.84232271617752
6,2.44,3.94,2,2.94,3,5,52.15888468316823
3,1.08,2.59,2,1.95,3,10,36.59564506541004
13,1.96,2.2,1,2.41,2,6,49.55088322617118
9,7.3,0.74,2,2.15,4,3,49.93049604608362
4,7.12,1.64,1,1.78,5,3,44.86947294965142
1,5.18,2.17,2,0.16,3,10,40.31030127887233
4,5.2,0.44,2,1.36,4,8,36.499050636965954
1,5.66,1.1,1,2.02,5,11,36.89372486786169
14,2.23,2.99,1,2.03,5,10,63.29269596992587
5,7.4,3.68,2,1.12,3,10,56.1679245404095
4,3.93,4.99,2,2.83,3,12,59.562477401613975
8,3.68,4.67,1,0.5,2,2,54.41274344628242
8,4.63,3.21,2,1.5,4,11,56.16892724697102
7,1.33,2.11,2,2.07,4,12,45.55414706907832
3,2.16,3.18,1,2.09,3,12,41.16409039266092
1,6.17,3.93,2,1.95,5,2,46.540335556148605
1,1.58,0.59,1,0.83,3,5,18.900077043985608
12,5.22,2.05,2,0.47,5,6,53.09813470926435
11,2.72,4.2,1,1.91,5,12,64.02374129793068
3,3.73,1.92,2,1.8,3,2,39.97691553012334
6,3.02,2.86,1,0.54,1,5,30.77747880047903
7,3.49,2.94,2,2.12,4,7,50.69924904799916
6,6.03,0.92,1,1.37,5,10,45.25696969889495
14,3.08,1.81,2,2.0,5,10,52.159953244710664
14,4.96,1.67,2,2.51,1,8,59.7987960812667
6,4.33,0.13,2,0.51,2,12,35.46967611041045
6,5.65,0.12,2,0.06,1,7,35.26963846579571
13,7.56,4.16,2,2.34,1,8,69.90815641066571
3,6.13,1.37,2,1.83,5,12,45.440037689171426
6,2.5,2.59,2,2.1,4,9,47.1671909356028
8,1.22,1.49,2,2.51,1,5,43.32462714265462
11,2.84,4.7,2,2.41,2,5,65.9543160814912
11,5.17,1.3,1,2.88,3,11,52.49704309852624
2,1.36,2.15,1,1.61,1,10,29.95320531495235
5,4.47,4.36,2,1.47,1,4,52.584711434754794
14,5.18,4.21,1,1.21,2,9,72.50466446297438
1,3.34,0.93,2,0.46,4,5,29.39815937917115
12,6.4,4.01,2,1.72,1,2,62.9278781883563
1,1.75,2.29,1,0.83,1,10,26.594204810155034
5,1.53,2.41,2,2.76,4,8,44.83474574255832
12,6.1,0.67,2,1.75,2,7,47.78893454494637
13,4.47,0.4,1,1.78,1,8,43.98827701423062
3,5.82,3.64,1,1.06,4,12,47.16221011062538
4,4.04,2.48,2,0.16,1,3,35.01849823178101
3,2.72,2.18,1,0.1,3,4,32.74389856418201
1,6.73,3.65,1,1.27,5,5,49.85737096301206
1,6.6,3.83,2,0.25,3,6,46.46212613984504
12,5.86,0.79,1,1.82,1,1,41.61392646875009
12,2.91,3.05,1,2.64,2,4,55.45600406007664
14,5.13,0.68,2,2.65,5,11,55.328794911929734
13,3.53,3.76,1,1.98,3,12,59.20621905626601
14,1.64,3.28,1,0.63,4,10,53.15109814346751
5,7.42,4.78,2,2.59,2,5,62.88796640720007
6,1.96,0.34,2,2.66,3,7,29.86978579823142
3,7.65,0.29,2,0.59,4,5,39.789004778297944
12,4.12,1.41,1,2.21,1,1,39.9371226234324
9,2.3,1.31,2,0.86,4,11,44.54306667322939
5,4.79,1.23,2,2.41,3,7,40.31278069724179
8,7.11,4.53,1,2.99,3,8,66.15350875748084
13,6.13,1.25,2,0.09,1,7,44.37996227102377
1,6.65,1.36,2,2.69,4,11,47.48394873562987
14,5.61,3.8,2,1.87,4,4,66.07550600488581
5,5.85,2.25,2,2.92,1,8,44.5913498368689
3,6.94,3.88,1,1.4,4,5,59.217027040206276
12,2.75,0.33,2,2.54,1,10,44.392921932872824
1,4.43,2.44,2,0.19,2,9,39.327249224849226
4,2.55,0.17,1,1.01,3,12,28.846674189085697
13,7.91,0.31,2,0.2,2,12,50.91255832004079
5,7.61,4.53,1,2.93,5,10,62.80945042763497
7,1.28,0.7,1,2.45,5,5,33.56353883772302
1,5.94,2.66,1,2.56,5,1,39.86552196642331
3,7.48,2.06,2,2.81,1,12,46.12565448269645
2,2.26,1.74,1,0.26,4,9,25.49043801309091
9,4.98,4.5,1,1.16,2,12,60.62342787938649
10,7.41,0.11,1,0.21,2,5,44.01023644257754
6,1.24,3.32,2,0.63,2,6,43.01441016907934
10,5.88,4.82,2,0.69,2,4,62.922628836444865
3,3.08,2.8,2,1.41,5,6,43.85828438156954
8,7.47,4.68,2,0.81,2,12,57.816668062819204
14,7.8,0.26,2,0.3,4,8,53.22849373430187
8,7.61,2.09,2,0.5,5,3,49.38997231433898
2,4.32,1.3,2,0.44,2,5,30.92323758370683
6,7.03,3.65,1,2.92,1,2,51.8700720339953
7,6.91,4.91,1,2.28,3,2,59.322086376377385
2,3.23,1.28,1,2.9,3,7,32.99569011346579
11,6.8,3.27,1,1.32,3,10,61.89983745902083
10,1.26,0.99,2,0.84,5,10,47.20587211836928
2,5.17,2.83,1,2.39,2,11,45.82925250134019
10,2.61,2.32,1,0.98,5,10,49.93091837011062
1,1.84,4.86,1,0.9,4,6,40.43745657904582
8,1.54,3.04,1,0.7,1,4,34.959682642677535
1,5.87,1.75,2,0.39,1,5,34.56654402230983
9,3.38,0.57,2,0.77,3,1,35.04979188267871
11,6.07,0.76,2,1.07,3,7,49.32809677337982
6,1.46,1.13,1,2.02,3,8,36.04400157251468
7,3.21,1.25,2,0.19,2,9,32.51058367457457
13,4.78,4.25,1,0.63,4,8,68.76110615508698
10,6.54,2.81,2,2.43,4,5,64.39814536084698
7,3.23,2.62,2,0.44,4,3,38.27667933403707
10,5.38,0.57,2,1.03,4,10,54.729277346732935
3,7.2,4.3,2,2.59,3,11,62.54412895724437
2,5.31,3.61,2,0.46,1,9,43.15438509873114
9,2.63,0.34,1,0.25,3,6,33.01718667081477
8,1.17,3.54,2,1.45,4,5,46.50757608918379
13,7.09,2.72,1,0.91,3,3,59.73838505958066
12,1.15,0.41,1,1.69,4,6,35.34951062499407
10,7.12,2.29,1,2.41,5,3,63.5710786064118
7,4.7,2.42,1,0.41,1,10,42.5003005817192
9,7.57,0.83,1,1.74,5,12,54.719469156218466
4,6.59,4.73,2,1.52,2,6,55.51180470104358
13,7.99,4.25,2,0.43,3,4,72.53948807168008
4,3.45,3.35,2,1.87,2,2,43.35225980949367
1,6.37,2.31,2,0.82,3,8,37.694444875034165
8,3.81,2.06,1,1.46,5,4,44.62371184033526
14,4.36,3.25,2,0.25,4,9,68.76333320658762
14,5.39,2.73,2,1.38,4,7,66.26693107812991
12,7.12,0.31,1,0.92,3,12,47.99307479328052
3,7.89,2.56,1,2.47,4,2,42.41250271699719
7,6.38,4.03,2,0.17,5,4,56.75252646530811
12,3.92,2.3,2,1.26,4,5,50.14057798789662
2,3.95,0.26,1,1.38,5,3,21.424975980699507
2,6.16,3.93,2,2.18,2,9,55.18677339049591
7,2.67,1.01,2,1.72,5,5,40.51716218914049
6,1.77,1.29,2,2.0,1,2,36.87532534503182
