month,kwh_usage,peak_hours,appliances,bill
5,138.47571517127017,5,3,1733.7159539443023
2,725.211585401132,2,14,9079.649049222173
4,762.3527097419935,4,14,9544.655925969759
12,700.4015398122508,1,11,8769.027278449379
12,739.6297047356124,7,4,9260.163903289867
7,760.1061413542378,4,1,9516.528889755056
12,249.12398943051528,5,9,3119.0323476700514
8,288.5533968519998,4,8,3612.6885285870376
3,607.0068509761418,4,8,7599.725774221295
1,826.2929043700128,8,14,10345.18716271256
4,352.9572658371957,8,10,4419.024968281689
2,570.6453406360454,8,6,7144.4796647632875
8,646.3856507337059,4,7,8092.748347185998
4,461.5588810392314,5,6,5778.717190611177
2,671.0259638842608,7,9,8401.245067830945
6,819.7339562337385,6,3,10263.069132046405
6,599.2812353454701,4,14,7503.001066525286
10,531.8248495317064,2,3,6658.447116136964
4,450.99574031067124,5,3,5646.4666686896035
6,561.9890167249006,4,10,7036.102489395755
2,384.2899614547167,7,3,4811.310317413053
10,413.18568816120154,6,9,5173.084815778243
12,525.4859837505392,8,12,6579.08451655675
2,153.29528991265357,5,4,1919.2570297064226
10,283.2203127398371,3,13,3545.9183155027604
4,534.2794484907272,6,7,6689.178695103904
8,445.2225145091541,2,14,5574.185881654609
7,366.2526287299874,4,9,4585.482911699442
12,684.4393094474411,7,11,8569.180154281963
9,654.9740859226707,3,12,8200.275555751838
8,233.38460799470653,7,7,2921.975292093726
5,802.9032922987506,3,9,10052.349219580357
2,496.3389011231725,5,12,6214.1630420621195
5,693.1687289112364,3,3,8678.47248596868
8,558.5206794059109,2,4,6992.678906162004
10,898.1540927390746,2,14,11244.889241093213
9,701.9224960310581,1,8,8788.069650308847
12,665.5843689947673,2,6,8333.116299814486
12,722.8575512406009,6,5,9050.176541532323
12,214.5023884387757,3,13,2685.5699032534717
9,263.6356745355706,2,4,3300.718645185344
1,671.2512657788914,5,8,8404.06584755172
9,495.1851897046901,7,1,6199.71857510272
7,703.7082334880932,8,14,8810.427083270926
9,182.33282459531603,7,9,2282.8069639333567
8,529.1850811876758,1,1,6625.397216469701
1,403.0572524455326,7,8,5046.276800618068
12,465.6001754253427,3,4,5829.31419632529
8,583.1662976580101,1,9,7301.242046678286
8,501.8306779700241,3,14,6282.920088184702
11,531.8885096902693,5,11,6659.244141322171
3,489.08598559648624,1,5,6123.356539668008
1,427.16414166839456,4,3,5348.0950536883
8,717.5055844785961,6,9,8983.169917672023
3,109.76245785443561,6,11,1374.2259723375337
3,578.7541609641817,3,14,7246.002095271554
1,552.406677858379,7,14,6916.131606786905
11,672.9432597863618,8,9,8425.24961252525
5,579.2234918218612,8,4,7251.878117609702
10,761.4390622472627,4,11,9533.217059335728
7,867.2598356512223,1,4,10858.093142353302
10,374.0194057428347,4,12,4682.72295990029
9,281.8807864239896,4,8,3529.14744602835
12,438.8774899363863,7,2,5494.746174003557
7,330.3436931805809,8,9,4135.903038620872
9,591.9602105221236,1,13,7411.341835736987
8,829.4819270743718,5,14,10385.113726971134
12,211.2929553144495,7,6,2645.3878005369074
2,180.6356824127092,4,9,2261.5587438071193
1,304.81242548292977,4,8,3816.2515670462803
7,680.8764688499206,5,7,8524.573390001005
7,574.3703242070573,4,13,7191.1164590723565
8,181.77013138015968,4,14,2275.762044879599
5,835.0004178085971,4,1,10454.205230963636
3,732.0677096992694,6,14,9165.487725434852
12,118.41808383011,7,12,1482.5944095529771
8,621.0937687905969,2,3,7776.093985258272
6,716.9973348157904,7,11,8976.806631893696
11,399.5482957763376,5,14,5002.344663119747
3,155.13723149377503,4,2,1942.3181383020633
1,161.8568523910298,7,5,2026.447791935693
3,183.39757284144758,6,5,2296.137611974924
5,772.3517055843383,8,5,9669.843353915916
3,828.5489586045704,5,4,10373.43296172922
1,198.24862547658705,3,5,2482.07279096687
5,288.72482767606493,7,3,3614.8348425043328
10,232.4164082938318,3,12,2909.853431838774
7,249.05670359529654,4,1,3118.1899290131128
7,769.9926312019936,6,5,9640.30774264896
11,365.71713012395116,6,13,4578.778469151868
9,349.1554112365129,7,9,4371.425748681141
10,281.9164967016901,5,13,3529.59453870516
10,586.315515035407,5,9,7340.670248243295
12,403.44455870843905,6,4,5051.1258750296565
3,695.3997214746311,5,3,8706.40451286238
7,264.46384670051,6,1,3311.0873606903847
1,730.231910971594,7,2,9142.503525364356
4,582.9772253841112,2,8,7298.874861809072
4,191.4138400445502,6,1,2396.5012773577682
5,431.6036673629021,3,8,5403.677915383534
7,790.8145124903656,5,13,9900.997696379376
7,838.3681854387879,6,7,10496.369681693624
11,472.56009785505057,6,8,5916.452425145233
4,484.6695824712588,7,12,6068.06317254016
7,834.7637799514409,5,6,10451.24252499204
11,569.6545793092538,2,12,7132.0753329518575
3,126.27733619475067,7,14,1580.9922491582784
6,830.1995703033031,2,9,10394.098620197354
12,298.58115420572153,8,3,3738.2360506556333
2,562.1055632732377,7,10,7037.561652180936
10,232.41065394237904,5,4,2909.7813873585856
9,127.10332819727599,1,13,1591.3336690298952
5,349.1785369062059,5,6,4371.715282065698
6,724.3965660368701,5,8,9069.445006781614
12,322.0697381035345,2,5,4032.313121056252
12,276.07777126487764,2,3,3456.493696236268
12,270.144627472981,5,6,3382.2107359617225
12,512.1389459254501,5,4,6411.979602986636
4,880.433052546205,5,9,11023.021817878485
11,467.19119041361046,2,13,5849.233703978402
10,545.8442951120383,5,3,6833.970574802719
7,788.5056143125871,5,4,9872.09029119359
12,528.0557751469269,8,7,6611.2583048395245
9,247.57029713508487,4,7,3099.5801201312624
7,339.67672941318165,1,12,4252.752652253034
1,347.9495410148887,3,12,4356.328253506406
1,417.8544923660783,1,4,5231.5382444233
9,441.4311242693995,4,6,5526.717675852881
11,739.8256176594156,3,12,9262.616733095883
9,379.5095992394664,7,13,4751.460182478119
4,474.58546275310346,5,3,5941.809993668855
9,599.9807896408417,4,6,7511.759486303338
3,402.1807579521354,8,12,5035.303089560735
7,769.2518506338663,7,2,9631.033169936005
6,569.9628833872595,5,8,7135.935300008488
8,335.23574337677724,2,2,4197.151507077251
11,671.2473598318626,6,11,8404.01694509492
9,522.1181841158286,4,7,6536.9196651301745
5,527.5647130057976,2,9,6605.110206832585
1,484.8703587100688,4,1,6070.576891050061
3,497.6095590569992,8,8,6230.07167939363
10,712.2850248529925,4,7,8917.808511159466
12,182.38518346505242,2,6,2283.4624969824563
8,367.49024904838575,8,6,4600.9779180857895
11,160.40269104311136,3,6,2008.2416918597542
6,702.5969765979606,1,9,8796.514147006466
8,317.84148377623956,5,2,3979.375376878519
9,817.9443278551074,4,1,10240.662984745944
4,521.2627733274351,5,13,6526.209922059486
1,740.5998171888968,6,12,9272.309711204989
1,883.145148492769,2,6,11056.977259129468
10,771.8310875652564,5,10,9663.325216317011
4,793.5950080092188,2,11,9935.809500275418
12,426.38759629187575,5,8,5338.372705574284
7,541.3780762074718,1,3,6778.053514117547
2,303.1108512346434,1,12,3794.947857457735
3,256.8904797547623,8,10,3216.268806529624
1,504.406303284827,1,1,6315.166917126034
5,576.0391837603365,8,9,7212.010580679413
1,371.4169967169528,1,13,4650.140798896248
8,555.5548142108003,1,13,6955.546273919219
1,809.9683860108024,1,1,10140.804192855247
11,545.3772678266928,2,3,6828.123393190193
1,676.6504770484053,4,8,8471.663972646034
2,744.2519738863241,8,14,9318.034713056777
2,890.9830255643542,5,3,11155.107480065713
12,582.5579217415836,1,13,7293.625180204627
6,745.4801191700687,2,4,9333.41109200926
7,870.1194548438997,2,8,10893.895574645623
5,855.5277804618188,2,1,10711.207811381972
1,212.86547902217086,8,13,2665.075797357579
1,425.1138466188176,4,13,5322.425359667596
3,359.1920488854397,8,6,4497.084452045705
2,169.54001196027946,5,1,2122.640949742699
5,606.5926199287685,4,14,7594.5396015081815
12,688.7236905568019,3,1,8622.82060577116
10,778.5024763735069,7,14,9746.851004196305
6,198.2215117301668,2,8,2481.7333268616885
7,801.1552607002351,8,11,10030.463863966943
4,614.3404508914026,3,4,7691.54244516036
7,663.1569081108075,6,12,8302.72448954731
11,828.4992028322431,8,1,10372.810019459683
8,599.8090168346009,1,10,7509.608890769204
11,368.69268571986805,7,7,4616.0324252127475
1,760.0858651381278,1,5,9516.27503152936
6,390.4473697560724,4,5,4888.401069346027
8,127.3824886564233,7,1,1594.8287579784196
5,764.5236052521998,8,14,9571.83553775754
4,376.1537159050205,5,10,4709.444523130856
2,719.0676185610722,3,11,9002.726584384623
6,390.20631573275637,5,6,4885.383072974109
6,788.8544159797773,8,14,9876.457288066811
11,275.60842006476696,4,9,3450.6174192108824
1,879.6378121590959,1,9,11013.06540823188
9,723.8070198304247,7,8,9062.063888276916
12,191.39034073631746,5,5,2396.2070660186946
11,552.6212959732484,8,1,6918.81862558507
6,888.2938497933877,5,9,11121.438999413214
3,476.85236215505154,8,1,5970.191574181245
4,245.6857110572666,1,8,3075.9851024369777
12,487.82269372027696,7,5,6107.540125377867
11,509.96612470553725,3,3,6384.775881313326
4,693.3495553829324,1,11,8680.736433394313
3,659.0766825287235,5,7,8251.640065259618
10,422.04003487758445,3,7,5283.941236667357
3,274.4184859952692,8,9,3435.71944466077
3,616.0433342154636,3,7,7712.862544377604
4,437.36314764262545,8,13,5475.7866084856705
7,205.82096890026432,1,11,2576.8785306313093
4,820.4578409891085,5,14,10272.132169183638
9,652.9774860877235,4,3,8175.278125818298
1,646.5470851563852,5,11,8094.769506157942
8,758.0671007293391,8,13,9491.000101131325
7,523.7293429240649,2,14,6557.091373409292
2,752.0435427219657,7,13,9415.585154879009
8,498.4726028088046,6,1,6240.876987166233
1,153.74031993256807,4,8,1924.828805555752
11,424.198470422151,3,12,5310.964849685331
12,497.9719151839125,4,3,6234.608378102584
9,676.1620653058367,7,12,8465.549057629074
9,185.26298410293947,3,8,2319.492560968802
2,212.0148309283592,7,8,2654.425683223057
7,310.94704210769316,3,13,3893.056967188318
10,313.1987146967058,4,5,3921.2479080027565
3,685.74766276725,3,13,8585.56073784597
7,300.5845284492782,3,12,3763.318296184963
12,606.478450685958,2,13,7593.110202588195
10,495.41908011061713,5,1,6202.646882984926
9,558.6355025435205,5,13,6994.116491844877
4,770.4855705426367,6,10,9646.47934319381
12,423.50520123921945,6,7,5302.285119515027
1,716.7291016514164,8,12,8973.448352675732
2,437.6288476405499,8,10,5479.113172459684
1,383.09710124899954,8,5,4796.375707637474
12,866.9017418505764,2,8,10853.609807969216
5,247.49673654317058,6,9,3098.6591415204957
5,172.26956846208628,7,11,2156.8149971453204
11,716.7887404283828,8,14,8974.195030163351
7,154.59976428327326,8,7,1935.5890488265811
9,769.6631925624235,4,14,9636.183170881543
9,449.7547170857948,1,13,5630.929057914151
3,832.4109418335312,7,7,10421.78499175581
3,677.2262888975245,8,1,8478.873136997006
3,588.3237336063661,8,4,7365.8131447517035
4,859.4454376462126,8,2,10760.25687933058
8,417.3194984416434,1,2,5224.840120489375
6,863.2695492317065,1,2,10808.134756380965
8,208.00102193696554,2,4,2604.1727946508086
1,487.0039535459302,7,14,6097.2894983950455
8,315.92897791375594,2,1,3955.4308034802243
4,531.8742231265547,3,4,6659.0652735444655
11,229.61110231326768,1,2,2874.7310009621115
1,773.2237282480347,4,5,9680.761077665395
8,777.1262794516458,6,3,9729.621018734606
4,864.1890501787832,4,12,10819.646908238365
6,223.73771270658898,6,8,2801.196163086494
8,598.6660407239926,1,4,7495.298829864388
4,479.3898469602957,1,1,6001.960883942902
3,375.50698563538657,1,1,4701.34746015504
9,381.23212890737506,2,12,4773.026253920336
3,430.23484048540183,7,10,5386.5402028772305
9,663.9404397511624,6,3,8312.534305684554
2,578.6288466145237,7,9,7244.433159613836
2,467.7452102089049,2,7,5856.170031815489
2,160.74672829569766,2,2,2012.5490382621347
6,162.21227526316568,5,13,2030.8976862948343
3,101.8715125006226,4,9,1275.4313365077949
9,874.1595105656692,4,10,10944.477072282178
4,104.20305484670793,3,2,1304.6222466807833
1,182.4749968109959,8,3,2284.5869600736683
4,351.6772454475287,2,11,4402.999113003059
1,745.9442014534089,6,13,9339.22140219668
5,869.6790286112941,5,10,10888.381438213402
4,732.0108470334849,5,14,9164.77580485923
8,652.4481859565125,8,2,8168.651288175536
8,517.0405339308555,7,3,6473.347484814311
7,169.36416948974687,8,6,2120.4394020116306
3,866.5366344031443,8,9,10849.038662727366
1,706.7139311565452,8,9,8848.058418079945
1,611.1595082674095,4,7,7651.717043507966
12,707.2286764310799,2,12,8854.503028917119
11,679.2826634185109,3,3,8504.618945999757
3,609.7852638315894,2,4,7634.5115031714995
6,884.4614401439906,7,6,11073.457230602762
7,822.6910501088199,1,11,10300.091947362425
6,617.3319352937307,8,5,7728.995829877508
6,654.5401691655397,2,2,8194.842917952557
6,141.27664532696798,7,13,1768.783599493639
3,635.9339716400314,1,6,7961.893324933192
6,135.33235016808015,1,3,1694.3610241043634
8,570.6110055759448,8,14,7144.049789810829
11,899.4827996526678,3,8,11261.524651651402
11,544.6452651497436,6,2,6818.95871967479
2,478.56809446506674,4,1,5991.672542702635
5,350.28388520447004,2,9,4385.554242759965
1,196.41806302917155,1,14,2459.154149125228
12,684.8189371666253,2,12,8573.93309332615
1,254.07922222850434,6,3,3181.0718623008743
5,192.2256169978275,4,11,2406.6647248128
12,437.41012778441,6,1,5476.374799860813
3,736.2734703672779,4,7,9218.14384899832
4,696.0516384961763,5,13,8714.566513972128
3,143.90609171717995,4,10,1801.704268299093
1,464.11494802892486,8,5,5810.719149322139
1,517.9476608569352,3,5,6484.704713928828
12,615.6373205006578,6,14,7707.779252668235
12,620.1338803545825,1,1,7764.076182039373
5,391.75779956584466,8,9,4904.807650564375
6,548.5417552028111,5,7,6867.742775139195
3,484.8495070752692,3,8,6070.31582858237
12,807.9986852186248,2,9,10116.143538937182
9,524.2121061079201,8,6,6563.13556847116
5,452.8257293985293,6,12,5669.378132069586
8,423.5883597454806,7,5,5303.326264013417
1,557.9422075467726,7,6,6985.436438485593
5,743.181583520718,1,11,9304.633425679389
3,530.72119230463,4,2,6644.629327653967
12,629.3241400644332,1,4,7879.138233606704
1,690.28461352522,7,3,8642.363361335754
4,516.1344879029855,2,13,6462.0037885453785
5,441.45364532389146,5,7,5526.999639455121
7,801.3323022899596,5,9,10032.680424670294
1,434.0048672223137,6,5,5433.740937623367
3,469.55428046047007,5,6,5878.819591365085
2,892.2730506734217,6,10,11171.25859443124
9,100.19001886070767,8,14,1254.37903613606
10,248.37832766137797,6,12,3109.696662320452
6,407.1711119357806,8,12,5097.782321435972
10,846.0719275402023,6,2,10592.820532803333
3,156.02376459797682,7,3,1953.4175327666696
8,107.58834690279846,7,3,1347.0061032230367
8,142.14706878178288,4,12,1779.6813011479217
2,170.83472849089452,8,12,2138.8508007059995
6,130.07741856500868,3,9,1628.5692804339087
7,483.82506148520383,8,7,6057.489769794752
2,564.6057657818621,6,8,7068.864187588913
11,317.3495768552033,6,11,3973.216702227145
10,418.62990718050844,3,10,5241.246437899966
2,173.35946808914412,1,11,2170.460540476084
10,369.09637106273766,6,9,4621.086565705476
1,518.0153533076184,4,6,6485.552223411382
8,685.8174457477161,5,4,8586.434420761405
1,102.67708963438338,5,12,1285.5171622224798
9,473.84861323012206,2,1,5932.584637641128
11,337.60230116390574,2,8,4226.7808105721
6,782.2574573535211,5,7,9793.863366066083
7,672.4426521873935,5,2,8418.982005386166
10,571.286827576716,7,8,7152.5110812604835
7,321.81251655741886,4,12,4029.092707298884
10,828.2712816460274,3,5,10369.956446208264
3,136.08054177625854,2,7,1703.7283830387569
2,187.57407894329214,7,4,2348.4274683700173
9,413.30411243228485,7,5,5174.567487652206
8,199.55004583748507,3,8,2498.366573885313
12,865.13255804754,7,1,10831.4596267552
10,738.3914577147067,8,1,9244.661050588127
7,307.18612128145094,4,4,3845.9702384437655
9,570.8433831785962,5,3,7146.959157396025
4,885.8644120640653,6,13,11091.022439042097
4,807.3591825052024,3,10,10108.136964965133
1,580.6387571537584,5,12,7269.597239565055
8,822.9791737402164,5,2,10303.69925522751
12,891.3479278506871,1,12,11159.676056690603
3,694.6822583148993,8,3,8697.421874102538
7,151.98912758631522,3,11,1902.9038773806665
12,421.26418914039,7,11,5274.227648037682
2,770.2605882265964,6,14,9643.662564596987
2,284.4553566440152,3,11,3561.38106518307
7,764.5140142004997,7,1,9571.715457790255
6,196.27100962799676,5,1,2457.3130405425195
3,137.55628571825042,6,6,1722.2046971924951
9,407.27248919299967,7,5,5099.051564696356
10,129.3855499412909,4,8,1619.9070852649618
6,865.8162103866605,7,2,10840.018954040988
10,760.9645566351727,1,4,9527.276249072362
10,740.6157497039001,8,8,9272.50918629283
6,603.8223383969225,5,12,7559.855676729469
1,273.05921842924283,7,6,3418.70141473412
4,514.6082933411137,8,1,6442.895832630744
10,577.8192579442727,2,4,7234.297109462294
6,520.0252006882146,2,1,6510.715512616446
6,308.18669436122184,8,13,3858.4974134024974
11,512.1983394517807,8,2,6412.723209936295
12,492.94907269490125,1,5,6171.722390140163
5,897.0686206453794,4,14,11231.299130480149
1,817.9489184369631,5,8,10240.720458830778
8,470.7045985724959,3,8,5893.221574127649
5,598.3499063480949,1,11,7491.340827478148
12,698.2972832737828,4,3,8742.68198658776
12,127.89212818705992,8,11,1601.2094449019903
12,815.9371529822719,3,13,10215.533155338044
5,788.1014531343391,8,4,9867.030193241924
7,465.94567821896584,8,10,5833.639891301452
4,412.93581286430384,2,11,5169.956377061084
6,318.367499885052,2,14,3985.9610985608506
4,481.34146266429474,3,6,6026.39511255697
3,135.50133082658942,1,11,1696.4766619488996
7,781.7548266776062,2,11,9787.570430003629
8,128.33789473483606,5,10,1606.7904420801474
4,363.2410922958968,8,3,4547.778475544628
2,845.271590655192,6,2,10582.800315003004
12,688.1701236187622,7,6,8615.889947706903
10,325.11276846202145,3,11,4070.4118611445083
3,302.1192751687081,3,13,3782.533325112225
1,104.06571185442077,2,5,1302.902712417348
8,656.5714342798001,1,14,8220.274357183096
3,139.02686533853847,8,10,1740.6163540385016
12,526.0820155206097,5,5,6586.546834318034
10,869.6975780736399,1,10,10888.613677481972
7,187.5750880435631,4,13,2348.44010230541
10,815.5839447744539,4,5,10211.110988576163
5,893.1802681160385,6,10,11182.616956812803
10,149.21362099138804,2,12,1868.154534812178
5,806.325015309969,2,5,10095.18919168081
7,512.8632163548933,2,3,6421.047468763264
9,825.210975555664,6,7,10331.641413956913
12,557.0551535356593,4,6,6974.330522266454
5,629.6896080852517,1,4,7883.713893227351
1,535.0231263979194,6,2,6698.489542501951
10,791.5943042458788,6,12,9910.760689158402
10,687.1279351629614,1,9,8602.841748240277
1,517.0082497443319,2,1,6472.943286799035
2,794.5286432412375,5,13,9947.498613380294
6,296.22842580426766,1,13,3708.779891069431
9,225.87252776202078,4,11,2827.9240475805
8,228.32008426405767,3,14,2858.567454986002
5,367.2071029961903,8,4,4597.4329295123025
1,290.952025040814,3,1,3642.7193535109914
7,844.0722804077909,7,13,10567.784950705542
5,184.6672750628672,7,6,2312.034283787097
6,659.1925904316702,6,4,8253.09123220451
7,251.3772318280047,8,5,3147.242942486619
3,805.3097062162801,3,5,10082.477521827826
12,869.0522305479259,5,9,10880.533926460032
10,472.37600701598683,2,1,5914.147607840155
3,803.2571841825053,4,13,10056.779945964965
5,104.11613660377182,7,2,1303.534030279223
6,755.9575339264801,5,13,9464.58832475953
9,282.9001292199388,4,6,3541.9096178336335
12,826.9610474154942,4,5,10353.552313641987
5,100.89608918408759,2,11,1263.2190365847766
1,544.9453880318056,8,7,6822.716258158205
4,705.3086430279477,6,3,8830.464210709904
5,306.95066455832637,3,3,3843.022320270246
12,254.50629166983444,2,10,3186.418771706327
10,167.27857957438772,5,2,2094.327816271334
10,361.1468612026344,6,13,4521.5587022569825
5,547.8754498470636,5,3,6859.400632085236
7,192.67508542420615,6,10,2412.292069511061
4,401.35628958943903,8,1,5024.980745659776
1,107.25792372217997,7,5,1342.8692050016932
5,754.9435363998734,5,14,9451.893075726415
7,202.7589744745531,2,12,2538.5423604214047
10,326.6743586124653,6,5,4089.9629698280655
10,114.74217499057397,6,12,1436.5720308819862
6,445.79262711400986,4,11,5581.3236914674035
5,772.097202192975,4,7,9666.656971456046
4,413.72096915615725,1,4,5179.786533835088
2,243.5978587390667,5,3,3049.845191413115
4,702.9590672404154,4,1,8801.04752185
10,731.0455854965954,1,12,9152.690730417375
10,239.00278024605345,7,8,2992.314808680589
3,716.6832868327919,7,13,8972.874751146554
10,857.8383106050704,4,3,10740.135648775482
1,233.10206954581787,5,13,2918.4379107136397
8,716.7874340257084,6,2,8974.178674001869
5,666.8576036821034,3,11,8349.057198099936
4,478.8591107480708,8,4,5995.316066565846
8,146.33636844703864,5,3,1832.1313329569236
7,159.75553420628322,8,13,2000.1392882626658
2,781.9317273589181,2,1,9789.785226533655
1,892.1186982005177,7,3,11169.32610147048
12,640.8418057494035,4,12,8023.339407982532
11,456.7666456082572,4,2,5718.718403015379
4,618.0589147215261,8,8,7738.097612313506
8,575.5166873828363,6,6,7205.46892603311
12,406.88980832449744,8,9,5094.260400222708
2,152.50091565921036,2,8,1909.3114640533138
3,757.2103579259527,6,10,9480.273681232928
12,397.4668233909797,2,3,4976.284628855065
1,755.028514685675,3,5,9452.95700386465
1,302.00699975070575,7,7,3781.127636878836
3,100.82358387650672,4,5,1262.3112701338641
11,227.15062662140522,4,8,2843.9258452999934
5,474.83153341486747,3,12,5944.89079835414
12,855.4429079662639,1,5,10710.145207737623
3,181.7548957549752,7,1,2275.571294852289
1,783.3678195692528,6,5,9807.765101007044
1,521.6192769694896,3,4,6530.67334765801
8,760.7366126399173,6,6,9524.422390251764
10,338.6995447919941,8,3,4240.518300795766
11,771.9577317379775,5,11,9664.910801359478
12,718.2582240134436,4,5,8992.592964648315
12,284.04294642514714,6,2,3556.217689242842
2,205.06810112750244,2,11,2567.4526261163305
3,794.4434580258343,6,6,9946.432094483445
2,870.5893227521055,5,13,10899.778320856361
3,125.04185099801299,7,12,1565.5239744951225
7,685.0160535789485,4,6,8576.400990808434
1,827.6196087582547,8,5,10361.79750165335
10,785.8880736739989,3,6,9839.318682398465
8,871.6163778161668,8,11,10912.637050258409
10,708.0752627504777,5,7,8865.102289635981
10,453.8390099047282,4,12,5682.064404007197
10,349.56159239610434,6,5,4376.511136799226
2,356.59419235050194,7,1,4464.5592882282845
3,679.5381380912936,1,8,8507.817488902996
9,696.6696096247714,7,4,8722.303512502138
7,260.28731483897013,1,9,3258.797181783906
4,794.4982507924248,2,14,9947.118099921157
10,671.9392321617981,7,10,8412.679186665713
5,550.2002290747062,4,12,6888.506868015321
2,477.2259680820102,1,6,5974.8691203867675
11,534.5862446319666,3,1,6693.019782792221
8,227.39659062341158,4,3,2847.0053146051127
4,262.9609994210193,3,3,3292.271712751162
9,172.93159232495333,7,10,2165.103535908416
5,222.92643052889014,3,12,2791.0389102217046
9,462.95490768422616,1,12,5796.195444206512
4,524.2835149826049,4,4,6564.0296075822125
10,114.2895139826555,6,6,1430.904715062847
5,737.438262291222,5,7,9232.7270438861
9,335.33437867478233,1,10,4198.386421008275
8,829.4688279679289,1,4,10384.94972615847
3,874.0090108910222,6,6,10942.592816355596
1,248.36709974132347,4,11,3109.5560887613697
3,469.6778326125285,4,1,5880.366464308857
4,100.98546813314071,8,14,1264.3380610269217
2,578.6618120979415,7,8,7244.845887466227
1,585.845158610137,3,7,7334.781385798915
7,298.0319644827001,7,11,3731.360195323405
8,546.7301380665583,6,11,6845.06132859331
7,280.4321139549884,7,9,3511.0100667164543
5,228.66037526255207,6,3,2862.8278982871516
12,621.2155734418118,4,2,7777.6189794914835
1,360.74037116165994,3,1,4516.469446943982
7,572.2111511084979,7,3,7164.083611878394
7,446.59739917732446,1,5,5591.399437700102
9,887.4811259223231,2,14,11111.263696547485
3,219.6645141340526,8,11,2750.1997169583387
9,471.6788773086481,5,2,5905.419543904274
1,644.3653010874602,1,12,8067.4535696150015
1,416.43606710397495,4,3,5213.7795601417665
4,879.7598814965519,5,4,11014.593716336829
9,677.5101023415481,2,7,8482.42648131618
6,625.5870860515945,2,13,7832.350317365963
11,705.6474140889786,3,3,8834.705624394011
3,862.1189104309736,5,9,10793.72875859579
1,826.2549223877121,3,8,10344.711628294155
4,679.4282465011295,1,4,8506.44164619414
12,699.3293112810264,6,13,8755.60297723845
9,216.73765922811637,6,1,2713.555493536017
3,182.23392359413253,6,1,2281.568723398539
12,556.7236014753314,5,1,6970.179490471149
9,114.694109552432,6,1,1435.9702515964486
7,485.88510524127327,1,8,6083.281517620741
12,268.27966393509485,3,3,3358.8613924673873
4,376.81325411587164,5,6,4717.701941530713
3,720.6437886343648,3,3,9022.460233702246
10,852.9900033859092,5,11,10679.434842391582
5,157.9330177170732,3,5,1977.3213818177564
5,527.393764781156,2,13,6602.969935060073
3,806.02678865568,3,14,10091.455393969112
12,166.00682755233703,6,13,2078.4054809552595
9,759.6112375174671,2,7,9510.332693718688
4,386.2410807426171,3,2,4835.738330897566
11,357.6757617754683,5,6,4478.1005374288625
5,881.9731090518286,5,13,11042.303325328894
4,260.6872718898353,8,6,3263.8046440607377
5,654.5551526581447,5,11,8195.030511279972
7,757.1525824078932,4,3,9479.550331746823
9,132.94679622341732,1,6,1664.4938887171847
